complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1587300,Overview for Complaint #:1587300 = RESOLVED,33 MAIDEN LANE,1001109,MAIDEN & NASSAU LLC,01/07/2022 - A8 - ECB VIOLATION SERVED,"POPS NON CONFORMING, WITH REQUIRED NUMBER OF SEATING NOT BEING PROVIDED.",2022-01-07,A8,ECB VIOLATION SERVED,2022
1586174,Overview for Complaint #:1586174 = RESOLVED,520 MADISON AVENUE,1035727,"520 MADISON OWNERS, L.L.C. ATT",12/29/2021 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS HAS CURTAIN SURROUNDING THE CANOPY SEATING AREA. ANY CHANGES NEED TO BE APPROVED BY CPC.,2021-12-29,A8,ECB VIOLATION SERVED,2021
1578332,Overview for Complaint #:1578332 = RESOLVED,425 5 AVENUE,1085975,UNAVAILABLE OWNER,09/16/2021 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS WAS NON COMPLIANT WITH NYC ZONING RESOLUTION NO      SIGNAGE SYSTEMS IN PLACE,2021-09-16,A8,ECB VIOLATION SERVED,2021
1577251,Overview for Complaint #:1577251 = RESOLVED,525 8 AVENUE,1085726,RONBET EIGHTH AVENUE LLC,09/07/2021 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT WITH NYC ZONING RESOLUTION. PLAZA DOES NOT HAVE REQUIRED AMOUNT OF MOVEABLE TABLES AND CHAIRS WITH A FAILURE TO PROPERLY MAINTAIN IRRIGATION SYSTEM RESULTING IN EXCESSIVE ACCUMULATION OF WATER IN PLAZA AND ON PLAZA FURNISHINGS.,2021-09-07,A8,ECB VIOLATION SERVED,2021
1574422,Overview for Complaint #:1574422 = RESOLVED,200 EAST 64 STREET,1043866,64TH STREET-THIRD AVENUE ASSOC,07/28/2021 - A8 - ECB VIOLATION SERVED,"PRIVATIZATION , DESIGN CHANGES AND WORK WITH OUT PERMIT BY EATING DRINKING ESTABLISHMENT KNOWN AS ""TONYS DINAPOLI"" AT PRIVATELY OWNED PUBLIC SPACE (POPS).",2021-07-28,A8,ECB VIOLATION SERVED,2021
1574338,Overview for Complaint #:1574338 = RESOLVED,1345 6 AVENUE,1083719,1345 LEASEHOLD LLC,07/28/2021 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE (POPS) NON CONFORMING TO NYC ZONING RESOLUTIONS. AT TIME OF INSPECTION NOTED: OUTDOOR DRINKING AND DINING ESTABLISHMENTS KNOWN AS ""QUALITY BISTRO"" AND ""WAGAMAMA""ARE GREATER IN CAPACITY THEN CPC PLAZA DOCUMENTS ALLOW.",2021-07-28,A8,ECB VIOLATION SERVED,2021
1571218,Overview for Complaint #:1571218 = RESOLVED,1000 10 AVENUE,1082718,ST LUKES-ROOSEVELT HOSP,06/28/2021 - A8 - ECB VIOLATION SERVED,SUBSTANTIAL DENIAL OF PUBLIC ACCESS TO PRIVATELY OWNED PUBLIC SPACE. NOTED SOUTH/WEST SECTION OF PLAZA PAD LOCKED CLOSED NO PUBLIC ACCESS.,2021-06-28,A8,ECB VIOLATION SERVED,2021
1571476,Overview for Complaint #:1571476 = RESOLVED,240 EAST 27 STREET,1019855,EQR-EAST 27TH STREET APARTMENT,06/28/2021 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NON COMPLIANT WITH NYC ZONING                      RESOLUTION. REQUIRED WATER FEATURE NOT OPERATIONAL AND   (+),2021-06-28,A8,ECB VIOLATION SERVED,2021
3796731,Overview for Complaint #:3796731 = RESOLVED,1817 EMMONS AVENUE,3247051,UNAVAILABLE OWNER,06/18/2021 - A8 - ECB VIOLATION SERVED,DESIGN CHANGES HAVE BEEN MADE TO PLAZA WITH OUT APPROVAL OF                     CITY PLANNING COMMISSION. LARGE WOOD STRUCTURE CONSTRUC (+),2021-06-18,A8,ECB VIOLATION SERVED,2021
1570004,Overview for Complaint #:1570004 = RESOLVED,145 EAST 48 STREET,1036233,THE COSMO CONDO,06/11/2021 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PLAZA (POPS) IS NON COMPLIANT WITH NYC ZONING RESOLUTIONS. POPS HAS BEEN PRIVATIZED BY DINING/DRINKING ESTABLISHMENT KNOWN AS ""AVRA"". ACCESS TO PUBLIC PLAZA IS FULLY OBSTRUCTED BY CAFE TABLES AND CHAIRS AND A FREESTANDING STRUCTURE WITH IN THE PLAZA APPROX. 40 FT X 30 FT ERECTED WITHOUT PERMIT FROM DOB OR CPC.",2021-06-11,A8,ECB VIOLATION SERVED,2021
1567956,Overview for Complaint #:1567956 = RESOLVED,120 PARK AVENUE,1035334,120 PARK AVENUE ASSOCIATES LLC,05/19/2021 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT AS PER NYC ZONING RESOLUTION. NO ACCESS FOR PUBLIC.,2021-05-19,A8,ECB VIOLATION SERVED,2021
1568062,Overview for Complaint #:1568062 = RESOLVED,172 MADISON AVENUE,1089701,UNAVAILABLE OWNER,05/19/2021 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT AS PER NYC ZONING RESOLUTION.,2021-05-19,A8,ECB VIOLATION SERVED,2021
1568064,Overview for Complaint #:1568064 = RESOLVED,10 EAST 29 STREET,1087326,10 EAST 29TH STREET ASSOCIATES,05/19/2021 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT AS PER NYC ZONING RESOLUTION.,2021-05-19,A8,ECB VIOLATION SERVED,2021
1567765,Overview for Complaint #:1567765 = RESOLVED,2 GOLD STREET,1087146,2 GOLD LLC,05/12/2021 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT, WITH EXPIRED OPEN AIR CAF  AND BICYCLE CHAINED TO TREES AND BENCHES.",2021-05-12,A8,ECB VIOLATION SERVED,2021
1567505,Overview for Complaint #:1567505 = RESOLVED,622 3 AVENUE,1089024,622 THIRD AVE. CO. LLC,05/12/2021 - A8 - ECB VIOLATION SERVED,A PLYWOOD BARRICADE APPROX 8FTX10FT HAS BEEN ERECTED WITHOUT PERMIT FROM DOB OR CPC FULLY OBSTRUCTING ALL PUBLIC ACCESS TO ELEVATED PLAZA FOR PUBLIC USE ALSO FAILURE TO MAINTAIN PLANTINGS AND PLANTERS.,2021-05-12,A8,ECB VIOLATION SERVED,2021
1568327,Overview for Complaint #:1568327 = RESOLVED,151 WEST 54 STREET,1069590,BLACK PUMICE D 2015 LLC,05/06/2021 - A8 - ECB VIOLATION SERVED,METAL ENTRY GATES AT 54TH AND 55TH STREET ENDS OF POPS (THROUGH BLOCK CONNECTION) ARE CLOSED AND LOCKED. THROUGH BLOCK CONNECTION USED AS CONSTRUCTION MATERIAL STAGING AREA. NO OVERHEAD CONSTRUCTION/SAFETY CONCERNS FOR PUBLIC TO WARRANT THIS DENIAL OF PUBLIC ACCESS.,2021-05-06,A8,ECB VIOLATION SERVED,2021
1566034,Overview for Complaint #:1566034 = RESOLVED,425 5 AVENUE,1085975,UNAVAILABLE OWNER,04/16/2021 - A8 - ECB VIOLATION SERVED,SUBSTANTIAL DENIAL OF PUBLIC ACCESS TO PRIVATELY OWNED PUBLIC SPACE. A LOCKED CONSTRUCTION FENCE WITH OUT A VALID PERMIT HAS CREATED NO ACCESS TO POP FOR THE PUBLIC,2021-04-16,A8,ECB VIOLATION SERVED,2021
1563560,Overview for Complaint #:1563560 = RESOLVED,255 EAST 49 STREET,1038254,X X,02/10/2021 - A8 - ECB VIOLATION SERVED,POPS CLOSED OFF TO PUBLIC VIA MESH NETTING. NO ACTIVE CONSTRUCTION/EXTERIOR WORK THAT WOULD WARRANT CLOSURE AT THIS TIME.,2021-02-10,A8,ECB VIOLATION SERVED,2021
1560736,Overview for Complaint #:1560736 = RESOLVED,585 8 AVENUE,1090194,IMDN HOLDING LLC,12/23/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS SEATING  IS BLOCKED OFF TO PUBLIC WITH PLYWOOD BARRICADES COVERING BENCHES. NO APPROVAL FOR CHANGES, ELIMINATES SEATING AMENITY",2020-12-23,A8,ECB VIOLATION SERVED,2020
1555776,Overview for Complaint #:1555776 = RESOLVED,240 EAST 27 STREET,1019855,EQR-EAST 27TH STREET APARTMENT,12/21/2020 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS WAS CLOSED AND LOCKED. VIOLATION ISSUED,2020-12-21,A8,ECB VIOLATION SERVED,2020
1557185,Overview for Complaint #:1557185 = RESOLVED,1133 6 AVENUE,1080824,DOLP 1133 PROPERTIES II LLC,11/13/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION ALONG 6TH AVENUE SIDE, PLANTER BOXES                      COVERED WITH PLYWOOD CONTRARY TO EXISTING PLANS, NOT     (+)",2020-11-13,A8,ECB VIOLATION SERVED,2020
1551182,Overview for Complaint #:1551182 = RESOLVED,425 5 AVENUE,1085975,UNAVAILABLE OWNER,10/22/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION PUBLIC ACCESS DENIED TO POPS, CONSTRUCTION FENCE WITH PAD LOCK ON GATE INSTALLED. HOWEVER NO EVIDENCE OF CONSTRUCTION.",2020-10-22,A8,ECB VIOLATION SERVED,2020
1549585,Overview for Complaint #:1549585 = RESOLVED,445 5 AVENUE,1017603,FIFTH AVE CONDO - B.H.S. MGMNT,10/01/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION WATER FOUNTAIN NOT OPERABLE,  AND NO 40 MOVABLE CHAIRS    OBSERVED.",2020-10-01,A8,ECB VIOLATION SERVED,2020
1549363,Overview for Complaint #:1549363 = RESOLVED,255 EAST 49 STREET,1038254,STERLING PLAZA CONDOMINIUM,10/01/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS IS FENCED OFF NO ACCESS, NO EVIDENCE OF CONSTRUCTION ON SITE. VIOLATION FOR ACCESS DENIAL OF PUBLIC ACCESS.",2020-10-01,A8,ECB VIOLATION SERVED,2020
1553516,Overview for Complaint #:1553516 = RESOLVED,525 8 AVENUE,1085726,X X,09/22/2020 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION BENCHES COVERED WITH PLYWOOD AND ORANGE PLASTIC FENCE NOT ALLOWING ANY SEATING. NO MOVABLE CHAIRS OBSERVED.  THIS IS CONTRARY TO ZONING SECTION 37-741 AND PLAZA PLANS,2020-09-22,A8,ECB VIOLATION SERVED,2020
1545864,Overview for Complaint #:1545864 = RESOLVED,240 EAST 27 STREET,1019855,EQR-EAST 27TH STREET APARTMENT,08/24/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION OF POPS NO WATER FEATURE/FOUNTAIN, NOT OPERABLE. VIOLATIONTO BE ISSUED.",2020-08-24,A8,ECB VIOLATION SERVED,2020
1540730,Overview for Complaint #:1540730 = RESOLVED,175 EAST 96 STREET,1082901,X X,08/13/2020 - A8 - ECB VIOLATION SERVED,POPS COMPLIANCE INSPECTION PERFORMED. VIOLATION ISSUED FOR REQUIRED AMENITY     DRINKING FOUNTAIN NOT OPERABLE.,2020-08-13,A8,ECB VIOLATION SERVED,2020
1540739,Overview for Complaint #:1540739 = RESOLVED,88 PINE STREET,1000876,X X,08/13/2020 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. OBSERVED DESIGN CHANGES WITHOUT DCP APPROVAL. REMOVED REQUIRED AMENITIES SUCH AS SEATING AND CIRCULAR BENCH.,2020-08-13,A8,ECB VIOLATION SERVED,2020
1546181,Overview for Complaint #:1546181 = RESOLVED,240 EAST 47 STREET,1037607,X X,06/29/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION ALL AREAS OF POPS CLOSED OFF TO PUBLIC .GATES ARE         LOCKED/PADLOCKED, PROHIBITING ACCESS TO PUBLIC.",2020-06-29,A8,ECB VIOLATION SERVED,2020
1541182,Overview for Complaint #:1541182 = RESOLVED,345 EAST 93 STREET,1050288,MILLROCK OWNERS CORP,06/22/2020 - A8 - ECB VIOLATION SERVED,"AT TIME OF INSPECTION POPS IS OPEN TO THE PUBLIC. HOWEVER, DOES NOT HAVE        REQUIRED ENTRY/INFORMATION PLAQUE.",2020-06-22,A8,ECB VIOLATION SERVED,2020
1540733,Overview for Complaint #:1540733 = RESOLVED,55 BROADWAY,1000807,X X,05/29/2020 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. POPS IS MISSING REQUIRED INFORMATION PLAQUE AS       REQUIRED BY ZONING.,2020-05-29,A8,ECB VIOLATION SERVED,2020
1540731,Overview for Complaint #:1540731 = RESOLVED,160 WATER STREET,1001135,X X,05/28/2020 - A8 - ECB VIOLATION SERVED,"AREA FENCED OFF,  VEHICLE PARKING IN PLAZA. NO DCP APPROVAL.",2020-05-28,A8,ECB VIOLATION SERVED,2020
1538249,Overview for Complaint #:1538249 = RESOLVED,650 WEST 42 STREET,1085803,RIVER PLACE I LLC,05/06/2020 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION POPS IS OPEN WITH NO RESTRICTION TO ANIMALS OBSERVED. VIOLATION FOR PROHIBITION/RULES OF CONDUCT SIGN IS LARGER THAN ALLOWED BY ZONING.,2020-05-06,A8,ECB VIOLATION SERVED,2020
1529338,Overview for Complaint #:1529338 = RESOLVED,55 CHURCH STREET,1075702,"CDL (NEW YORK) LIMITED, L.P.",02/06/2020 - A8 - ECB VIOLATION SERVED,FAILURE TO PROVIDE REQUIRED AMENITIES FOR PRIVATELY OWNED PUBLIC SPACE. MISSING SEATING ON FULTON STREET SIDE OF POPS.,2020-02-06,A8,ECB VIOLATION SERVED,2020
1531289,Overview for Complaint #:1531289 = RESOLVED,86 WATER STREET,1000859,UDR 10 HANOVER LLC,01/30/2020 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED.  SIGNAGE AT PUBLIC PLAZA NOT COMPLIANT WITH ZONING.,2020-01-30,A8,ECB VIOLATION SERVED,2020
1529909,Overview for Complaint #:1529909 = RESOLVED,1991 BROADWAY,1028857,BEL CANTO CONDOMINIUM ASSOC,01/30/2020 - A8 - ECB VIOLATION SERVED,PLAZA FULLY OPEN TO PUBLIC AT TIME OF INSPECTION. NOTED FAILURE TO PROVIDE      GENERAL MAINTENANCE TO OVERALL PLAZA,2020-01-30,A8,ECB VIOLATION SERVED,2020
1528645,Overview for Complaint #:1528645 = RESOLVED,200 EAST 65 STREET,1076307,200-210 E. 65TH ST CONDO,01/29/2020 - A8 - ECB VIOLATION SERVED,"POPS IS OPEN TO PUBLIC. HOWEVER, POPS NON COMPLIANT ENTRY PLAQUES FOR PUBLIC    INFORMATION",2020-01-29,A8,ECB VIOLATION SERVED,2020
1528401,Overview for Complaint #:1528401 = RESOLVED,301 EAST 87 STREET,1050044,NAME NOT ON FILE,01/22/2020 - A8 - ECB VIOLATION SERVED,MISSING REQUIRED AMENITIES SUCH AS SEATING AND PLAQUES. VIOLATION ISSUED.,2020-01-22,A8,ECB VIOLATION SERVED,2020
1531282,Overview for Complaint #:1531282 = RESOLVED,75 WALL STREET,1085950,75 WALL ST. CONDO,01/15/2020 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NON COMPLIANT DESIGN CHANGES MADE TO ARCADE WITH   OUT CPC APPROVAL,2020-01-15,A8,ECB VIOLATION SERVED,2020
1531274,Overview for Complaint #:1531274 = RESOLVED,2 GOLD STREET,1087146,2 GOLD LLC,01/15/2020 - A8 - ECB VIOLATION SERVED,"NUMBER OF TABLES AND CHAIRS NOT PROVIDED IN POPS AS PER REQUIRED AMENITIES.  MAINTENANCE ISSUE OBSERVED, BROKEN PAVING STONES.",2020-01-15,A8,ECB VIOLATION SERVED,2020
1531283,Overview for Complaint #:1531283 = RESOLVED,85 BROAD STREET,1066031,85 BROAD STREET PROPERTY OWNER,01/15/2020 - A8 - ECB VIOLATION SERVED,"VIOLATION ISSUED FOR POPS NO PROVIDING THE REQUIRED SIGNAGE PER ZONING. ALSO, 4   PROHIBITION SIGNS OBSERVED CONTRARY TO ZONING (1 PROHIBITION SIGN MAXIMUM).",2020-01-15,A8,ECB VIOLATION SERVED,2020
1532578,Overview for Complaint #:1532578 = RESOLVED,235 WEST 48 STREET,1076194,X X,01/10/2020 - A8 - ECB VIOLATION SERVED,FABRIC SIDE RAILS WITH FABRIC CANOPY ABOVE ENCLOSING AN AREA FOR EXCLUSIVE USE WITH COMMERCIAL EATING/DRINKING ESTABLISHMENT LA MASSERIA. NO CPC APPROVAL FOR OPEN AIR CAF  OR DESIGN CHANGES.,2020-01-10,A8,ECB VIOLATION SERVED,2020
1529521,Overview for Complaint #:1529521 = RESOLVED,166 EAST 34 STREET,1018502,X X,12/04/2019 - A8 - ECB VIOLATION SERVED,"OPEN AIR CAF  IN OPERATION WITHOUT CPC/DCP CERTIFICATION.  DESIGN CHANGES TO POPS, RAISED PLANTER BEDS AND FREE STANDING METAL AWNING/CANOPY WITHOUT CPC APPROVAL.",2019-12-04,A8,ECB VIOLATION SERVED,2019
1523609,Overview for Complaint #:1523609 = RESOLVED,1700 BROADWAY,1024836,1700 BROADWAY OWNER LLC,12/04/2019 - A8 - ECB VIOLATION SERVED,ILLUMINATED LIGHT POLES HAVE BEEN ADDED TO POPS (DESIGN CHANGES) WITHOUT DCP    APPROVAL.,2019-12-04,A8,ECB VIOLATION SERVED,2019
1521937,Overview for Complaint #:1521937 = RESOLVED,622 3 AVENUE,1089024,622 THIRD AVE. CO. LLC,11/14/2019 - A8 - ECB VIOLATION SERVED,"MASONRY PLANTERS ARE COVERED WITH PLYWOOD, WITH DEAD OR MISSING PLANTERS. EXCESS GARBAGE STREWN THROUGHOUT PLAZA. OWNER RESPONSIBLE FOR PLAZA MAINTENANCE.",2019-11-14,A8,ECB VIOLATION SERVED,2019
1520996,Overview for Complaint #:1520996 = RESOLVED,135 EAST 57 STREET,1036904,"WALLACE, STRATFORD CTR",11/13/2019 - A8 - ECB VIOLATION SERVED,POPS HAS SUBSTANTIAL DENIAL OF PUBLIC ACCESS. SIDEWALK SHED/NETTING OBSERVED. NO PERMITS FOR EXTERIOR FA ADE WORK. NO ACTIVE EXTERIOR WORK OBSERVED.,2019-11-13,A8,ECB VIOLATION SERVED,2019
1520482,Overview for Complaint #:1520482 = RESOLVED,875 3 AVENUE,1038517,875 THIRD AVENUE LLC,10/30/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE. PROHIBITION SIGNS CONTRARY TO ZONING RESOLUTION,2019-10-30,A8,ECB VIOLATION SERVED,2019
1522842,Overview for Complaint #:1522842 = RESOLVED,1000 10 AVENUE,1082718,ST LUKES-ROOSEVELT HOSP,10/29/2019 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION PRIVATELY OWNED PUBLIC SPACE FULLY CLOSED TO PUBLIC.NO ACTIVE PERMITS/SAFETY CONCERNS ON FILE TO WARRANT CLOSURE,2019-10-29,A8,ECB VIOLATION SERVED,2019
1518928,Overview for Complaint #:1518928 = RESOLVED,200 WATER STREET,1001163,200 WATER SPE L.L.C.,10/24/2019 - A8 - ECB VIOLATION SERVED,"FURTHER RESEARCH SHOWS, PRIVATELY OWNED PUBLIC SPACE IS MISSING ALL REQUIRED    AMENITIES. NO DCP APPROVAL",2019-10-24,A8,ECB VIOLATION SERVED,2019
1519040,Overview for Complaint #:1519040 = RESOLVED,415 EAST 54 STREET,1040356,KARISIK CHARLES,10/24/2019 - A8 - ECB VIOLATION SERVED,ILLEGAL PROHIBITION SIGNS AT PRIVATELY OWNED PUBLIC SPACE,2019-10-24,A8,ECB VIOLATION SERVED,2019
1519805,Overview for Complaint #:1519805 = RESOLVED,62 WEST 55 STREET,1034815,SL GREEN REALTY CORP.,10/16/2019 - A8 - ECB VIOLATION SERVED,CAFE OPERATING AT  PRIVATELY OWNED PUBLIC PLAZA WITH OUT CERTIFICATION FROM CITYPLANNING,2019-10-16,A8,ECB VIOLATION SERVED,2019
1515302,Overview for Complaint #:1515302 = RESOLVED,245 EAST 54 STREET,1038575,BEVARD OWNERS CORP,09/19/2019 - A8 - ECB VIOLATION SERVED,POPS OPEN TO PUBLIC. VIOLATION ISSUED FOR MAINTENANCE ISSUES WITHIN POPS,2019-09-19,A8,ECB VIOLATION SERVED,2019
1515861,Overview for Complaint #:1515861 = RESOLVED,200 EAST 24 STREET,1019782,CRYSTAL HOUSE OWNERS INC C/O M,09/19/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC PLAZA NON COMPLIANCE TO NYC ZONING RESOLUTION. 350 LINEAR FEET OF METAL SPIKES ATTACHED TO PLANTER EDGES PROHIBITING/INHIBITING SEATING FOR PUBLIC,2019-09-19,A8,ECB VIOLATION SERVED,2019
1516619,Overview for Complaint #:1516619 = RESOLVED,499 PARK AVENUE,1037164,"SVF PARK NEW YORK, LLC",09/19/2019 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION PRIVATELY OWNED PUBLIC SPACE (POPS) IS OPEN TO PUBLIC. HOWEVER DOES NOT HAVE  DCP REQUIRED PLAQUES/SIGNS,2019-09-19,A8,ECB VIOLATION SERVED,2019
1515420,Overview for Complaint #:1515420 = RESOLVED,845 UNITED NATIONS PLAZA,1038909,NAME NOT ON FILE,09/12/2019 - A8 - ECB VIOLATION SERVED,POPS NON COMPLIANT AT TIME OF INSPECTION OBSERVED REQUIRED AMENITIES(DRINKING   FOUNTAIN)NOT OPERATIONAL.,2019-09-12,A8,ECB VIOLATION SERVED,2019
1520598,Overview for Complaint #:1520598 = RESOLVED,747 3 AVENUE,1081179,X X,09/05/2019 - A8 - ECB VIOLATION SERVED,VIOLATION FOR FAILING TO SUBMIT PERIODIC COMPLIANCE REPORT TO DCP AS REQUIRED   UNDER ZR 37-78 (B),2019-09-05,A8,ECB VIOLATION SERVED,2019
1513465,Overview for Complaint #:1513465 = RESOLVED,175 WATER STREET,1001137,AMERICAN INTERNATIONAL RLTY CO,07/08/2019 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE PRIVATIZED BY ""FLAVORS"" AT THE TIME OF INSPECTION, OPEN AIR CAF  WITHOUT DCP CERTIFICATION",2019-07-08,A8,ECB VIOLATION SERVED,2019
1512249,Overview for Complaint #:1512249 = RESOLVED,110 EAST 59 STREET,1037165,REBCO ASSOCIATES,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORDS ON FILE FOR DESIGN CHANGES TO PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512340,Overview for Complaint #:1512340 = RESOLVED,2025 BROADWAY,1076231,THE NEVADA OWNERS INC,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORD ON FILE FOR DESIGN CHANGES TO PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1511146,Overview for Complaint #:1511146 = RESOLVED,1 LINCOLN PLAZA,1027472,ONE LINCOLN PLAZA CONDOMINIUM,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORDS ON FILE FOR CAFE CERTIFICATION FROM CITY PLANNING COMMISSION FOR     PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512291,Overview for Complaint #:1512291 = RESOLVED,300 EAST 93 STREET,1073539,WATERFORD  CONDOMINIUM,07/02/2019 - A8 - ECB VIOLATION SERVED,FAILURE TO MAINTAIN FURNISHINGS AT PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512325,Overview for Complaint #:1512325 = RESOLVED,866 2 AVENUE,1038896,NAME NOT ON FILE,07/02/2019 - A8 - ECB VIOLATION SERVED,PROHIBITION SIGNS NOT COMPLIANT WITH ZONING RESOLUTION AT PRIVATELY OWNED PUBLICSPACE.,2019-07-02,A8,ECB VIOLATION SERVED,2019
1511183,Overview for Complaint #:1511183 = RESOLVED,980 5 AVENUE,1046426,980 FIFTH AVENUE CORPORATION,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORDS ON FILE FOR DESIGN CHANGES IN PRIVATELY OWNED PLAZA,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512327,Overview for Complaint #:1512327 = RESOLVED,885 2 AVENUE,1037988,885 SECOND AVENUE OWNER LLC,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORD ON FILE FOR DESIGN CHANGES TO PRIVATELY OWNED PUBLIC PLAZA,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512284,Overview for Complaint #:1512284 = RESOLVED,31 WEST 52 STREET,1071418,40 WEST 53RD PARTNERSHIP,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORD ON FILE FOR CURRENT VALID CAFE CERTIFICATION FROM CITY PLANNING       COMMISSION FOR PRIVATELY OWNED PUBLIC PLAZA,2019-07-02,A8,ECB VIOLATION SERVED,2019
1513980,Overview for Complaint #:1513980 = RESOLVED,167 EAST 61 STREET,1041986,X X,07/02/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC PLAZA MISSING REQUIRED AMENITIES (DRINKING FOUNTAIN),2019-07-02,A8,ECB VIOLATION SERVED,2019
1512259,Overview for Complaint #:1512259 = RESOLVED,2 PENNSYLVANIA PLAZA,1083026,NATIONAL RAILROAD PASSENGER CO,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORD ON FILE FOR OPERATING OPEN AIR CAFE WITHIN PRIVATELY OWNED PUBLIC     SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512289,Overview for Complaint #:1512289 = RESOLVED,300 EAST 54 STREET,1039846,CONNAUGHT TOWER AKA 300 E 54 S,07/02/2019 - A8 - ECB VIOLATION SERVED,STANDARDS FOR SEATING WITHIN PUBLIC PLAZA DOES NOT CONFORM TO ZONING RESOLUTION,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512276,Overview for Complaint #:1512276 = RESOLVED,230 WEST 27 STREET,1014237,F.I.T. STUDENT HOUSING CORPORA,07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORDS ON FILE FOR DESIGN CHANGES TO PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
1512256,Overview for Complaint #:1512256 = RESOLVED,137 EAST 36 STREET,1018953,CARLTON REGENCY CORP (THE),07/02/2019 - A8 - ECB VIOLATION SERVED,NO RECORDS ON FILE FOR DESIGN CHANGES TO PRIVATELY OWNED PUBLIC SPACE,2019-07-02,A8,ECB VIOLATION SERVED,2019
3703773,Overview for Complaint #:3703773 = RESOLVED,230 ASHLAND PLACE,3393804,NAME NOT ON FILE,07/01/2019 - A8 - ECB VIOLATION SERVED,DRINKING FOUNTAIN IS NOT OPERATIONAL AT THE TIME OF INSPECTION AT THIS PRIVATELYOWNED PUBLIC SPACE.,2019-07-01,A8,ECB VIOLATION SERVED,2019
3707837,Overview for Complaint #:3707837 = RESOLVED,350 JAY STREET,3000259,MUSS & MUSS,07/01/2019 - A8 - ECB VIOLATION SERVED,CRACK AT PLANTERS LEDGE BETWEEN JAY STREET. AND ADAMS ST.,2019-07-01,A8,ECB VIOLATION SERVED,2019
